TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
USIM6;17,93;7,95;2,73;1,11;0,58;34,70;36,48;26,38;1,98;1,57;-0,11;-0,06;0,72;1,59;-1,25;3,08;40,77;21,12;30,05;0,52;0,41;0,80;9,57;;2.319,00;16,09;6,56;0,00;19.081.484.168,32
VALE3;83,66;17,51;4,49;2,37;0,91;61,20;39,33;31,65;3,61;3,74;0,12;0,08;1,42;20,16;-1,18;1,24;52,78;20,25;38,11;0,38;0,61;0,64;21,72;;1.917.818.643,30;35,32;18,64;0,01;429.381.470.580,60
VAMO3;11,98;1,64;34,63;4,30;1,61;35,13;25,43;13,86;18,87;21,00;2,13;0,49;4,80;6,23;-2,67;2,91;12,41;4,66;7,84;0,38;0,62;0,34;;;29.077.083,78;2,79;0,35;0,31;11.704.315.880,60
VBBR3;22,72;8,96;5,73;2,35;0,90;5,39;4,64;4,01;4,96;6,60;1,64;0,78;0,23;2,91;-1,84;2,49;40,93;15,63;20,83;0,38;0,62;3,90;-3,48;;175.283.929,35;9,69;3,97;0,01;26.468.800.000,00
VIIA3;4,57;;730,48;1,29;0,21;30,57;-1,82;0,03;-12,42;-26,78;-14,35;1,49;0,23;-9,47;-0,45;0,96;0,18;0,03;-12,98;0,16;0,84;0,92;8,45;-6,51;191.863.761,40;3,55;0,01;-6,93;7.304.806.161,92
VITT3;14,24;0,69;19,26;4,49;2,22;38,19;20,86;15,33;14,16;15,12;0,96;0,30;2,95;7,49;-8,50;1,67;23,32;11,55;15,27;0,50;0,50;0,75;;;1.896.101,43;3,17;0,74;;2.037.019.283,68
VIVA3;24,95;1,31;22,28;4,39;2,49;74,12;23,24;20,96;20,09;19,49;-0,60;-0,13;4,67;7,06;-6,09;2,48;19,70;11,17;17,94;0,57;0,43;0,53;;;27.778.241,43;5,69;1,12;0,27;5.893.134.336,55
VIVR3;1,17;;-2,11;-1,34;0,48;13,51;-81,84;-101,22;-2,61;-4,86;-2,26;;2,13;-1,80;-0,91;0,64;-63,55;-22,92;-74,83;-0,36;1,36;0,23;-17,04;;6.080.876,60;-0,87;-0,56;0,04;167.196.174,21
VIVT3;48,87;7,09;16,87;1,19;0,73;45,03;16,42;11,20;11,51;12,06;0,55;0,06;1,89;56,61;-0,92;1,07;7,06;4,32;7,20;0,61;0,39;0,39;1,37;7,44;91.793.230,75;41,01;2,90;5,51;82.638.433.187,01
VIVT4;45,34;;15,65;1,11;0,68;45,03;16,42;11,20;10,68;12,06;0,55;0,06;1,75;52,52;-0,86;1,07;7,06;4,32;7,20;0,61;0,39;0,39;1,37;7,44;;41,01;2,90;5,11;82.638.433.187,01
VLID3;9,25;3,14;-31,20;0,61;0,25;22,47;2,91;-1,13;12,10;26,31;14,21;0,72;0,35;1,60;-0,44;1,57;-1,97;-0,80;1,70;0,41;0,58;0,71;3,44;;3.614.779,83;15,05;-0,30;0,37;759.151.079,75
VSPT3;4,99;;-2,52;0,15;0,08;9,02;-3,26;-9,81;-7,60;-4,24;3,36;-0,07;0,25;-1,44;-0,09;0,60;-5,94;-3,19;-2,04;0,54;0,46;0,33;10,22;;;33,29;-1,98;-0,20;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;9,02;-3,26;-9,81;0,00;-4,24;3,36;-0,07;0,00;0,00;0,00;0,60;-5,94;-3,19;-2,04;0,54;0,46;0,33;10,22;;;33,29;-1,98;0,00;712.610.842,16
VULC3;9,33;3,75;7,98;1,80;1,10;32,20;16,52;16,83;8,13;8,91;0,78;0,17;1,34;3,04;-3,41;2,15;22,53;13,78;16,04;0,61;0,39;0,82;4,07;;5.104.833,98;5,19;1,17;0,01;2.292.905.756,52
VVEO3;17,00;1,46;14,35;2,24;0,85;17,25;7,97;5,84;10,50;10,21;-0,30;-0,06;0,84;2,09;-2,71;2,49;15,61;5,96;10,98;0,38;0,62;1,02;;;8.974.003,28;7,59;1,18;;4.864.097.120,00
WEGE3;31,62;1,34;38,42;10,41;5,90;30,80;18,41;15,76;32,90;32,58;-0,32;-0,10;6,06;18,41;-17,11;1,96;27,09;15,35;22,75;0,57;0,42;0,97;12,35;24,47;239.202.186,43;3,04;0,82;0,60;132.719.195.096,76
WEST3;3,70;;-13,30;1,03;0,77;44,12;-15,94;-10,09;-8,42;-2,72;5,70;-0,70;1,34;1,29;-3,33;4,48;-7,73;-5,81;-14,28;0,75;0,25;0,58;;;3.352.135,08;3,60;-0,28;0,05;407.636.148,40
WHRL3;6,38;9,20;8,80;3,82;1,06;18,51;10,49;9,61;8,07;7,32;-0,98;-0,46;0,85;9,83;-4,81;1,16;43,37;12,02;28,54;0,28;0,72;1,25;-0,28;30,60;16.698,67;1,67;0,73;0,11;9.858.003.233,26
WHRL4;6,95;9,29;9,59;4,16;1,15;18,51;10,49;9,61;8,79;7,32;-0,98;-0,46;0,92;10,71;-5,24;1,16;43,37;12,02;28,54;0,28;0,72;1,25;-0,28;30,60;89.940,88;1,67;0,73;0,12;9.858.003.233,26
WIZS3;7,98;7,63;6,99;3,26;1,05;66,09;38,06;20,86;3,83;2,91;-0,92;-0,78;1,46;3,84;-2,15;2,12;46,65;14,95;35,20;0,32;0,66;0,72;17,16;13,46;15.276.852,55;2,45;1,14;-0,48;1.276.060.110,36
WLMM3;33,90;2,03;13,21;2,33;1,90;12,83;7,21;5,39;9,89;8,23;-1,29;-0,30;0,71;4,96;-3,69;4,65;17,62;14,35;16,13;0,81;0,19;2,66;14,81;88,13;8.519,00;14,56;2,57;0,22;1.188.618.943,50
WLMM4;31,59;2,40;12,31;2,17;1,77;12,83;7,21;5,39;9,22;8,23;-1,29;-0,30;0,66;4,62;-3,44;4,65;17,62;14,35;16,13;0,81;0,19;2,66;14,81;88,13;61.216,37;14,56;2,57;0,21;1.188.618.943,50
YDUQ3;21,58;2,18;51,36;1,99;0,67;54,06;10,57;3,02;14,66;21,86;7,19;0,98;1,55;12,99;-0,96;1,21;3,88;1,31;4,55;0,34;0,66;0,43;5,62;-21,66;59.035.982,88;10,83;0,42;-1,03;6.670.137.404,58
